Element,Pocket PCM SP 1,Pocket PCM SP 2,Pocket Gas SP 1,Pocket Gas SP 2,Pocket ZPE Corr,Pocket Thermal Corr Energy,Pocket Thermal Corr Enthalpy,Pocket Thermal Corr Gibbs FE,Pocket Electronic + ZPE,Pocket Electronic + Thermal Energies,Pocket Electronic + Thermal Enthalpies,Pocket Electronic + Thermal FE,Pocket Gas SP,Pocket PCM SP,Pocket Electronic,Pocket PCM Corr,Pocket Thermal Corr,Pocket Rel PCM Corr,Pocket Rel Thermal Corr,Pocket Rel Gas SP,Water PCM SP 1,Water PCM SP 2,Water Gas SP 1,Water Gas SP 2,Water ZPE Corr,Water Thermal Corr Energy,Water Thermal Corr Enthalpy,Water Thermal Corr Gibbs FE,Water Electronic + ZPE,Water Electronic + Thermal Energies,Water Electronic + Thermal Enthalpies,Water Electronic + Thermal FE,Water Gas SP,Water PCM SP,Water Electronic,Water PCM Corr,Water Thermal Corr,Water Rel PCM Corr,Water Rel Thermal Corr,Water Rel Gas SP,dG Expt,ddG_expt,Relative Binding Energy (Kcal),Relative Binding Free Energy (Kcal)
La,-1364.47953164,,-9823.684924,,0.356591,0.391983,0.392927,0.280978,-1364.034304,-1363.998912,-1363.997968,-1364.109917,-9823.684924,-1364.47953164,-1364.390895,-55.619491600002675,176.3136950000029,0.0,0.0,0.0,-719.258117943,,-9177.54386651,,0.221722,0.24863,0.249574,0.16675,-718.490376,-718.463468,-718.462524,-718.545348,-9177.54386651,-719.258117943,-718.712098,-342.6275142325207,104.63562499998687,0.0,0.0,0.0,-6.75,0.0,0.0,0.0
Ce,-1808.0077134,-1808.00820119,-10190.5912384,,0.356409,0.391924,0.392868,0.28023,-1807.566552,-1807.531038,-1807.530093,-1807.642731,-10190.5912384,-1808.00820119,-1807.922961,-53.488219224951195,175.84432500004652,2.1312723750514806,-0.4693699999563705,-366.90631440000107,-1162.77255631,,-9544.43889232,,0.221013,0.248149,0.249093,0.165225,-1162.001985,-1161.97485,-1161.973906,-1162.057773,-9544.43889232,-1162.77255631,-1162.2229980000002,-344.84783952489863,103.67868750012008,2.220325292377936,0.9569374998667968,-366.89502581000124,,,-7.083590224888212,-2.2444250575483693
Nd,-1894.31920043,,-10953.4337036,,0.356564,0.391086,0.39203,0.282078,-1893.877496,-1893.842973,-1893.842029,-1893.951981,-10953.4337036,-1894.31920043,-1894.23406,-53.42561982494374,177.00457250004206,2.1938717750589376,0.6908775000391643,-1129.7487796000005,-1249.08698064,,-10307.2876452,,0.221944,0.248522,0.249467,0.167113,-1248.316661,-1248.290083,-1248.289138,-1248.371492,-10307.2876452,-1249.08698064,-1248.538605,-344.1057141000823,104.86340749998249,1.4781998675616137,-0.2277824999956124,-1129.743778690001,-8.3,-1.55,-3.138071024736746,0.9970956179273571
Sm,-1990.93700743,-1990.93700743,-11755.9985015,,0.356823,0.392028,0.392972,0.2809,-1990.490962,-1990.455757,-1990.454813,-1990.566885,-11755.9985015,-1990.93700743,-1990.8477850000002,-55.98707482489715,176.26475000012647,-0.36758322489447437,-0.048944999876425754,-1932.313577500001,-1345.7045125,,-11109.8427457,-11109.8444133,0.222099,0.24856,0.249504,0.167218,-1344.928579,-1344.902118,-1344.901174,-1344.98346,-11109.8427457,-1345.7045125,-1345.150678,-347.53114874999596,104.92929500003015,4.903634517475268,-0.2936700000432779,-1932.2988791900007,-8.7,-1.95,-9.223189525196176,-5.029753232535086
Gd,-2098.59085707,-2098.68374789,-12599.361382,,0.357141,0.392166,0.39311,0.282572,-2098.159556,-2098.124531,-2098.123587,-2098.234125,-12599.361382,-2098.68374789,-2098.516697,-104.8244334750973,177.31393000004573,-49.20494187509462,1.000235000042835,-2775.676458,-1453.33926377,-1453.43443154,-11953.2077894,,0.221767,0.248325,0.24927,0.166529,-1452.669175,-1452.642617,-1452.641672,-1452.724413,-11953.2077894,-1453.43443154,-1452.890942,-341.0396863500688,104.49694750005165,-1.5878278824519043,0.13867749993522693,-2775.6639228900003,-9.0,-2.25,-7.865781524742488,-57.51963878231095
Tb,-2156.51922316,-2157.494604,-13036.5219558,-13036.5284264,0.356729,0.39216,0.393105,0.27903,-2157.051987,-2157.016556,-2157.015612,-2157.129686,-13036.5219558,-2157.494604,-2157.408716,-53.89472000004275,175.0913249998075,1.7247715999599222,-1.222370000195383,-3212.8370318000016,-1511.17391462,-1512.26524865,-12390.3645388,,0.222478,0.248719,0.249663,0.168053,-1511.485226,-1511.458985,-1511.458041,-1511.539651,-12390.3645388,-1512.26524865,-1511.707704,-349.859267875114,105.45325749992003,7.231753642593333,-0.8176324999331541,-3212.8206722900013,-9.1,-2.35,-10.265592525161082,-3.3490697827363647
Yb,-2492.21939158,,-15384.595655,-15384.5961273,0.357271,0.392383,0.393327,0.282897,-2491.785038,-2491.749926,-2491.748982,-2491.859412,-15384.595655,-2492.21939158,-2492.142309,-48.369318950014986,177.5178675000302,7.2501726499876895,1.2041725000273118,-5560.910731,-1846.99160163,,-14738.4251002,,0.223841,0.249349,0.250294,0.172052,-1846.209837,-1846.184328,-1846.183384,-1846.261625,-14738.4251002,-1846.99160163,-1846.433678,-350.097077825003,107.96325750000335,7.469563592482302,-3.3276325000164775,-5560.881233690001,-9.15,-2.4,-18.50956202436464,-5.913285781883815
Lu,-2569.18646918,,-15887.7315677,,0.357448,0.392374,0.393319,0.28485,-2568.739318,-2568.704391,-2568.703447,-2568.811916,-15887.7315677,-2569.18646918,-2569.096766,-56.2887454500094,178.74337500000365,-0.6692538500067258,2.429680000000758,-6064.046643700001,-1923.95252318,,-15241.5664954,,0.224029,0.249451,0.250395,0.173054,-1923.1643,-1923.138878,-1923.137934,-1923.215276,-15241.5664954,-1923.95252318,-1923.3883289999999,-354.0318479501167,108.59075749998851,11.40433371759599,-3.955132500001639,-6064.022628890001,-9.0,-2.25,-15.069293275096243,-5.8596659075078605
