Element,Pocket Rel PCM Corr,Water Rel PCM Corr,Pocket Rel Thermal Corr,Water Rel Thermal Corr,Pocket Rel Gas SP,Water Rel Gas SP,Relative Binding Energy (Kcal),Relative Binding Free Energy (Kcal)
La,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ce,2.1312723750514806,2.220325292377936,-0.4693699999563705,0.9569374998667968,-366.90631440000107,-366.89502581000124,-7.083590224888212,-2.2444250575483693
Nd,2.1938717750589376,1.4781998675616137,0.6908775000391643,-0.2277824999956124,-1129.7487796000005,-1129.743778690001,-3.138071024736746,0.9970956179273571
Sm,-0.36758322489447437,4.903634517475268,-0.048944999876425754,-0.2936700000432779,-1932.313577500001,-1932.2988791900007,-9.223189525196176,-5.029753232535086
Gd,-49.20494187509462,-1.5878278824519043,1.000235000042835,0.13867749993522693,-2775.676458,-2775.6639228900003,-7.865781524742488,-57.51963878231095
Tb,1.7247715999599222,7.231753642593333,-1.222370000195383,-0.8176324999331541,-3212.8370318000016,-3212.8206722900013,-10.265592525161082,-3.3490697827363647
Yb,7.2501726499876895,7.469563592482302,1.2041725000273118,-3.3276325000164775,-5560.910731,-5560.881233690001,-18.50956202436464,-5.913285781883815
Lu,-0.6692538500067258,11.40433371759599,2.429680000000758,-3.955132500001639,-6064.046643700001,-6064.022628890001,-15.069293275096243,-5.8596659075078605
